KYTREASNOX,MCALDT,TMYTM
2000001,1969-10-31,6.6846473289377E+00
2000001,1969-11-28,6.4468330597186E+00
2000001,1969-12-31,6.7872668527053E+00
2000001,1970-01-30,7.7282633348221E+00
2000001,1970-02-27,6.3034725317322E+00
2000001,1970-03-31,6.4145144693864E+00
2000001,1970-04-30,6.5119190855467E+00
2000001,1970-05-29,6.3085936567713E+00
2000001,1970-06-30,5.9304962920168E+00
2000001,1970-07-31,5.8952725967130E+00
2000001,1970-08-31,6.1088089265305E+00
2000001,1970-09-30,5.8188497469656E+00
2000001,1970-10-30,5.2738514236109E+00
2000001,1970-11-30,4.4492330618444E+00
2000001,1970-12-31,4.4390866914757E+00
2000001,1971-01-29,4.0623135965657E+00
2000001,1971-02-26,3.2288805882227E+00
2000001,1971-03-31,3.4063612529622E+00
2000001,1971-04-30,3.6760076048177E+00
2000001,1971-05-28,3.8696447340874E+00
2000001,1971-06-30,5.0192898582153E+00
2000001,1971-07-30,5.0603618790878E+00
2000001,1971-08-31,4.4082643602609E+00
2000001,1971-09-30,4.5306140153982E+00
2000001,1971-10-29,3.9915726772074E+00
2000001,1971-11-30,3.8283820770559E+00
2000001,1971-12-31,3.3506178775809E+00
2000001,1972-01-31,3.1269531551655E+00
2000001,1972-02-29,3.1470938786499E+00
2000001,1972-03-30,3.4827776038830E+00
2000001,1972-04-28,3.2492307776076E+00
2000001,1972-05-31,3.4012877737586E+00
2000001,1972-06-30,3.6251859210304E+00
2000001,1972-07-31,3.5132808342632E+00
2000001,1972-08-31,4.3065401942739E+00
2000001,1972-09-29,4.4291259944663E+00
2000001,1972-10-31,4.5405636773441E+00
2000001,1972-11-30,4.9174853697972E+00
2000001,1972-12-29,4.8672230448517E+00
2000001,1973-01-31,5.5713957999409E+00
2000001,1973-02-28,5.5794192629046E+00
2000001,1973-03-30,5.8749135902182E+00
2000001,1973-04-30,5.9870019490793E+00
2000001,1973-05-31,6.5266410406333E+00
2000001,1973-06-29,7.4356971566907E+00
2000001,1973-07-31,8.3118257302277E+00
2000001,1973-08-31,8.5812769023939E+00
2000001,1973-09-28,7.3351582620523E+00
2000001,1973-10-31,6.9281956194022E+00
2000001,1973-11-30,7.4474415500727E+00
2000001,1973-12-31,7.3635220605133E+00
2000001,1974-01-31,7.5503336810773E+00
2000001,1974-02-28,7.3767217526032E+00
2000001,1974-03-29,8.4995023134959E+00
2000001,1974-04-30,8.7712716995854E+00
2000001,1974-05-31,7.8337847196362E+00
2000001,1974-06-28,7.6806731342588E+00
2000001,1974-07-31,7.7145427955703E+00
2000001,1974-08-30,9.2151194458518E+00
2000001,1974-09-30,6.1704820957051E+00
2000001,1974-10-31,6.6723874728775E+00
2000001,1974-11-29,7.4984985238742E+00
2000001,1974-12-31,6.5368548940588E+00
2000001,1975-01-31,5.5399943958335E+00
2000001,1975-02-28,4.7555282358248E+00
2000001,1975-03-31,5.2738987318131E+00
2000001,1975-04-30,5.2139016622380E+00
2000001,1975-05-30,4.8563773445018E+00
2000001,1975-06-30,5.6507603350614E+00
2000001,1975-07-31,6.0297513220994E+00
2000001,1975-08-29,5.9680983042030E+00
2000001,1975-09-30,6.2922352642755E+00
2000001,1975-10-31,5.3157950014153E+00
2000001,1975-11-28,5.1837074515750E+00
2000001,1975-12-31,5.1720308363462E+00
2000001,1976-01-30,4.5212994869407E+00
2000001,1976-02-27,4.6536503208426E+00
2000001,1976-03-31,4.7555336273024E+00
2000001,1976-04-30,4.6937806938734E+00
2000001,1976-05-28,5.0604019784695E+00
2000001,1976-06-30,5.2961696443257E+00
2000001,1976-07-30,5.0814385986706E+00
2000001,1976-08-31,4.7644758630278E+00
2000001,1976-09-30,5.0817996838077E+00
2000001,1976-10-29,4.7555174528699E+00
2000001,1976-11-30,4.3471995355490E+00
2000001,1976-12-31,4.2566144261453E+00
2000001,1977-01-31,4.5510384388261E+00
2000001,1977-02-28,4.4288747499078E+00
2000001,1977-03-31,4.5414160933057E+00
2000001,1977-04-29,4.3884197405506E+00
2000001,1977-05-31,4.8350901507543E+00
2000001,1977-06-30,4.9493680019636E+00
2000001,1977-07-29,5.3463325224635E+00
2000001,1977-08-31,5.3776986434293E+00
2000001,1977-09-30,5.8151636362735E+00
2000001,1977-10-31,5.8240028233445E+00
2000001,1977-11-30,5.6937504516381E+00
2000001,1977-12-30,5.7540250100169E+00
2000001,1978-01-31,5.9967208538158E+00
2000001,1978-02-28,6.0884251740265E+00
2000001,1978-03-31,6.4972253572089E+00
2000001,1978-04-28,6.0486483399274E+00
2000001,1978-05-31,6.5097372536433E+00
